Số TT,Mã MH,Tên MH (VN),Tên MH (EN),Còn mở lớp,Đơn vị quản lý,Loại MH,Mã cũ,Mã tương đương,Mã tiên quyết,Mã môn học trước,Số TCLT,Số TCTH
1,ACCT3603,Hệ thống thông tin kế toán,Accounting Information Systems,Đang mở,HTTT,CN,,,,,3,0
2,ACCT5123,Hoạch định nguồn lực doanh nghiệp,Enterprise Resource Planning,Đang mở,HTTT,CSN,,,,,3,0
3,ADENG1,Tiếng Anh tăng cường 1,Intensive English 1,Đang mở,HTTT,ĐC,ENG11,ENG04,,,0,0
4,ADENG2,Tiếng Anh tăng cường 2,Intensive English 2,Đang mở,HTTT,ĐC,ENG12,,,,0,0
5,ADENG3,Tiếng Anh tăng cường 3,Intensive English 3,Đang mở,HTTT,ĐC,,ENG05,ADENG2,,0,0
6,ADENG4,Tiếng Anh tăng cường 4,Intensive English 4,Đang mở,HTTT,ĐC,,ENG03,ADENG3,,0,0
7,AI001,Giới thiệu ngành Trí tuệ nhân tạo,Introduction to Artificial Intelligence,Đang mở,KHMT,ĐC,,CS005IE005IS005SE005CE005NT005NT015EC005DS005,,,1,0
8,AI002,Tư duy Trí tuệ nhân tạo,Artificial Intelligence Thinking,Đang mở,KHMT,CSN,,,,,3,1
9,AI301,Khởi nghiệp và sáng tạo,Entrepreneurship and Innovation,Đang mở,KHMT,CN,,,,,2,0
10,AI302,Kỹ thuật viết báo cáo và trình bày,Technical Report Writing and Presentation Skills,Đang mở,KHMT,CN,,,,,2,0
11,AI503,Đồ án tốt nghiệp,Capstone Project,Đang mở,KHMT,TN,,,,,6,0
12,AI504,Đồ án tốt nghiệp tại doanh nghiệp,Industry Capstone Project,Đang mở,KHMT,TN,,,,,10,0
13,AI505,Khoá luận tốt nghiệp,Thesis,Đang mở,KHMT,KLTN,,,,,10,0
14,BCH058,Kỹ năng truyền thông giao tiếp,Communications Techniques,Đang mở,PĐTĐH,CN,,,,,1,1
15,BOQC1,Nhập môn máy tính lượng tử,Basics of Quantum Computing,Đang mở,BMTL,BT,,,,,0,0
16,BUS1125,Khởi nghiệp kinh doanh,Entrepreneurship,Đang mở,PĐTĐH,CN,,,,,2,1
17,CARC1,Kiến trúc máy tính,Computer Architecture,Đang mở,KTMT,ĐC,,IT006,,,3,0
18,CE005,Giới thiệu ngành Kỹ Thuật Máy tính,Introduction to Computer Engineering,Đang mở,KTMT,ĐC,,CS005IE005IS005SE005NT005NT015EC005DS005AI001,,,1,0
19,CE006,Giới thiệu ngành Thiết kế vi mạch,Introduction to Integrated Circuit Design,Đang mở,KTMT,ĐC,,,,,1,0
20,CE101,Lý thuyết mạch điện,Theory of electrical circuits,Đang mở,KTMT,CSN,,CE121,,,4,0
21,CE102,Hệ thống số,Digital systems,Đang mở,KTMT,CN,,PH002,,,3,1
22,CE103,Vi xử lý-vi điều khiển,Microprocessors and Microcontrollers,Đang mở,KTMT,CSN,,,,IT006,3,1
23,CE104,Các thiết bị và mạch điện tử,Electronic devices and circuits,Đang mở,KTMT,CSN,,,,PH001CE101,3,0
24,CE105,Xử lý tín hiệu số,Digital Signal Processing,Đang mở,KTMT,CSN,CE205,CE205,,MA001MA002MA003,3,1
25,CE106,Thiết kế vi mạch với HDL,Digital Circuit Design with HDL,Đang mở,KTMT,CN,,CE221,,,3,1
26,CE107,Hệ thống nhúng,Embedded systems,Đang mở,KTMT,CSN,,CE224,,IT001IT006CE103,3,1
27,CE108,Hệ điều hành nâng cao,Advanced operating systems,Đang mở,KTMT,CN,,,,,3,0
28,CE109,Lập trình nhúng căn bản,Introduction to embedded-system programming,Đang mở,KTMT,CN,,CE211,,,2,1
29,CE110,Lập trình hệ thống với Java,System Programming with Java,Đang mở,KTMT,CN,,CE315,,,3,1
30,CE111,Kiến trúc máy tính nâng cao,Advanced computer architecture,Đang mở,KTMT,CĐTN,,,,IT006,2,1
31,CE112,Đồ án môn học thiết kế mạch,Circuit design project,Đang mở,KTMT,ĐA,,CE201,,,0,2
32,CE113,Điều khiển tự động,Automatic Control,Đang mở,KTMT,CN,,CE212,,,3,0
33,CE114,Lập trình trên thiết bị di động,Mobile device application development,Đang mở,KTMT,CN,,NT118,,,2,1
34,CE115,Thiết kế mạng,Network design,Đang mở,KTMT,CN,,NT113,,,3,1
35,CE116,Đồ án môn học ngành KTMT,Information engineering project,Đang mở,KTMT,ĐA,,CE206,,,0,2
